Sl. No.,Management,District,Lower Primary,,,Upper Primary,,, Elementary Schools,,,Secondary,,,Higher Secondary(PU Sections) ,,
,,,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total
237,90-Social Welfare Department Schools,VIJAYAPURA-2903,0,0,0,4,2,6,4,2,6,3,1,4,0,0,0
238,90-Social Welfare Department Schools,YADAGIRI-2933,0,0,0,13,2,15,13,2,15,13,2,15,0,0,0
239,90-Social Welfare Department Schools,,18,6,24,263,85,348,281,91,372,232,46,278,17,6,23
240,91-Ministry of Labor,KOLAR-2919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,91-Ministry of Labor,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,92-Kendriya Vidyalay / Central Schools,BAGALKOT-2902,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0
243,92-Kendriya Vidyalay / Central Schools,BALLARI-2912,0,0,0,1,2,3,1,2,3,1,2,3,0,0,0
244,92-Kendriya Vidyalay / Central Schools,BELAGAVI CHIKKODI-2930,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0
245,92-Kendriya Vidyalay / Central Schools,BELAGAVI-2901,0,0,0,2,1,3,2,1,3,2,1,3,1,1,2
246,92-Kendriya Vidyalay / Central Schools,BENGALURU U NORTH-2928,0,0,0,1,9,10,1,9,10,1,9,10,1,8,9
247,92-Kendriya Vidyalay / Central Schools,BENGALURU U SOUTH-2920,0,0,0,0,4,4,0,4,4,0,4,4,0,3,3
248,92-Kendriya Vidyalay / Central Schools,BIDAR-2905,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
249,92-Kendriya Vidyalay / Central Schools,CHAMARAJANAGARA-2927,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0
250,92-Kendriya Vidyalay / Central Schools,CHIKKABALLAPURA-2929,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
251,92-Kendriya Vidyalay / Central Schools,CHIKKAMANGALURU-2917,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
252,92-Kendriya Vidyalay / Central Schools,DAKSHINA KANNADA-2924,0,0,0,0,2,2,0,2,2,0,2,2,0,2,2
253,92-Kendriya Vidyalay / Central Schools,DAVANAGERE-2914,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0
254,92-Kendriya Vidyalay / Central Schools,DHARWAD-2909,0,0,0,0,4,4,0,4,4,0,4,4,0,2,2
255,92-Kendriya Vidyalay / Central Schools,HASSAN-2923,0,0,0,2,0,2,2,0,2,2,0,2,2,0,2
256,92-Kendriya Vidyalay / Central Schools,HAVERI-2911,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0
257,92-Kendriya Vidyalay / Central Schools,KALBURGI-2904,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0
258,92-Kendriya Vidyalay / Central Schools,KODAGU-2925,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0
259,92-Kendriya Vidyalay / Central Schools,KOLAR-2919,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
260,92-Kendriya Vidyalay / Central Schools,KOPPAL-2907,0,0,0,1,1,2,1,1,2,0,1,1,0,0,0
261,92-Kendriya Vidyalay / Central Schools,MANDYA-2922,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0
262,92-Kendriya Vidyalay / Central Schools,MYSURU-2926,0,0,0,2,2,4,2,2,4,1,2,3,2,2,4
263,92-Kendriya Vidyalay / Central Schools,RAICHUR-2906,0,0,0,0,2,2,0,2,2,0,2,2,0,0,0
264,92-Kendriya Vidyalay / Central Schools,RAMANAGARA-2932,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1
265,92-Kendriya Vidyalay / Central Schools,SHIVAMOGGA-2915,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0
266,92-Kendriya Vidyalay / Central Schools,TUMAKURU-2918,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0
267,92-Kendriya Vidyalay / Central Schools,UDUPI-2916,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
268,92-Kendriya Vidyalay / Central Schools,UTTARA KANNADA-2910,0,0,0,2,0,2,2,0,2,2,0,2,2,0,2
269,92-Kendriya Vidyalay / Central Schools,VIJAYAPURA-2903,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
270,92-Kendriya Vidyalay / Central Schools,,0,0,0,19,36,55,19,36,55,15,35,50,9,22,31
271,93-Javahar Navodaya Vidyalaya,BAGALKOT-2902,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
272,93-Javahar Navodaya Vidyalaya,BALLARI-2912,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
273,93-Javahar Navodaya Vidyalaya,BELAGAVI CHIKKODI-2930,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
274,93-Javahar Navodaya Vidyalaya,BENGALURU RURAL-2921,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
275,93-Javahar Navodaya Vidyalaya,BENGALURU U NORTH-2928,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
276,93-Javahar Navodaya Vidyalaya,BIDAR-2905,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
277,93-Javahar Navodaya Vidyalaya,CHAMARAJANAGARA-2927,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
278,93-Javahar Navodaya Vidyalaya,CHIKKABALLAPURA-2929,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
279,93-Javahar Navodaya Vidyalaya,CHIKKAMANGALURU-2917,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
280,93-Javahar Navodaya Vidyalaya,CHITRADURGA-2913,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
281,93-Javahar Navodaya Vidyalaya,DAKSHINA KANNADA-2924,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
282,93-Javahar Navodaya Vidyalaya,DAVANAGERE-2914,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
283,93-Javahar Navodaya Vidyalaya,DHARWAD-2909,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
284,93-Javahar Navodaya Vidyalaya,GADAG-2908,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
285,93-Javahar Navodaya Vidyalaya,HAVERI-2911,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
286,93-Javahar Navodaya Vidyalaya,KALBURGI-2904,0,0,0,1,1,2,1,1,2,1,0,1,1,0,1
287,93-Javahar Navodaya Vidyalaya,KODAGU-2925,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
288,93-Javahar Navodaya Vidyalaya,KOLAR-2919,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
289,93-Javahar Navodaya Vidyalaya,KOPPAL-2907,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0
290,93-Javahar Navodaya Vidyalaya,MANDYA-2922,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
291,93-Javahar Navodaya Vidyalaya,MYSURU-2926,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
292,93-Javahar Navodaya Vidyalaya,RAICHUR-2906,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
293,93-Javahar Navodaya Vidyalaya,RAMANAGARA-2932,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
294,93-Javahar Navodaya Vidyalaya,SHIVAMOGGA-2915,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
295,93-Javahar Navodaya Vidyalaya,TUMAKURU-2918,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
296,93-Javahar Navodaya Vidyalaya,UDUPI-2916,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
297,93-Javahar Navodaya Vidyalaya,UTTARA KANNADA SIRSI-2934,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
298,93-Javahar Navodaya Vidyalaya,VIJAYAPURA-2903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,93-Javahar Navodaya Vidyalaya,YADAGIRI-2933,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
300,93-Javahar Navodaya Vidyalaya,,0,0,0,28,1,29,28,1,29,28,0,28,27,0,27
301,94-Sainik Schools,BELAGAVI-2901,0,0,0,0,3,3,0,3,3,0,3,3,0,1,1
302,94-Sainik Schools,BENGALURU U SOUTH-2920,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
303,94-Sainik Schools,KODAGU-2925,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
304,94-Sainik Schools,VIJAYAPURA-2903,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
305,94-Sainik Schools,,0,0,0,1,5,6,1,5,6,1,5,6,1,3,4
306,95-Railway Schools,GADAG-2908,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
307,95-Railway Schools,,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
308,96-Central Tibatin Schools,CHAMARAJANAGARA-2927,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0
309,96-Central Tibatin Schools,MYSURU-2926,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1
310,96-Central Tibatin Schools,UTTARA KANNADA SIRSI-2934,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
311,96-Central Tibatin Schools,,0,0,0,2,0,2,2,0,2,2,0,2,2,0,2
312,,,21199,3192,24391,25744,12296,38040,46943,15488,62431,9428,7422,16850,2394,3564,5958
