Sl. No.,Management,District,Lower Primary,,,Upper Primary,,, Elementary Schools,,,Secondary,,,Higher Secondary(PU Sections) ,,
,,,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total
58,1-Department of Education,MANDYA-2922,747,28,775,757,64,821,1504,92,1596,187,27,214,59,16,75
59,1-Department of Education,MYSURU-2926,895,41,936,809,147,956,1704,188,1892,183,49,232,40,37,77
60,1-Department of Education,RAICHUR-2906,597,73,670,683,104,787,1280,177,1457,176,39,215,26,15,41
61,1-Department of Education,RAMANAGARA-2932,751,40,791,400,51,451,1151,91,1242,90,17,107,29,5,34
62,1-Department of Education,SHIVAMOGGA-2915,853,53,906,788,147,935,1641,200,1841,131,33,164,34,19,53
63,1-Department of Education,TUMAKURU MADHUGIRI-2931,702,24,726,502,31,533,1204,55,1259,86,9,95,22,7,29
64,1-Department of Education,TUMAKURU-2918,1213,54,1267,663,83,746,1876,137,2013,117,15,132,33,10,43
65,1-Department of Education,UDUPI-2916,220,6,226,330,32,362,550,38,588,89,17,106,35,6,41
66,1-Department of Education,UTTARA KANNADA SIRSI-2934,579,32,611,448,57,505,1027,89,1116,62,12,74,13,9,22
67,1-Department of Education,UTTARA KANNADA-2910,426,29,455,420,60,480,846,89,935,39,10,49,11,6,17
68,1-Department of Education,VIJAYAPURA-2903,757,66,823,884,148,1032,1641,214,1855,134,19,153,23,7,30
69,1-Department of Education,YADAGIRI-2933,396,63,459,406,63,469,802,126,928,104,18,122,14,14,28
70,1-Department of Education,,19078,1717,20795,19067,3420,22487,38145,5137,43282,3914,810,4724,875,458,1333
71,2-Tribal Welfare Department Schools,BAGALKOT-2902,1,2,3,24,20,44,25,22,47,24,13,37,1,2,3
72,2-Tribal Welfare Department Schools,BELAGAVI CHIKKODI-2930,1,2,3,23,7,30,24,9,33,23,7,30,1,1,2
73,2-Tribal Welfare Department Schools,BENGALURU RURAL-2921,0,0,0,6,0,6,6,0,6,6,0,6,1,0,1
74,2-Tribal Welfare Department Schools,BENGALURU U NORTH-2928,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
75,2-Tribal Welfare Department Schools,BENGALURU U SOUTH-2920,0,2,2,2,1,3,2,3,5,2,0,2,1,0,1
76,2-Tribal Welfare Department Schools,BIDAR-2905,0,0,0,10,10,20,10,10,20,7,5,12,0,1,1
77,2-Tribal Welfare Department Schools,CHAMARAJANAGARA-2927,20,0,20,14,2,16,34,2,36,14,2,16,2,0,2
78,2-Tribal Welfare Department Schools,CHIKKABALLAPURA-2929,3,1,4,21,5,26,24,6,30,20,4,24,3,0,3
79,2-Tribal Welfare Department Schools,CHIKKAMANGALURU-2917,10,3,13,26,2,28,36,5,41,25,1,26,3,1,4
80,2-Tribal Welfare Department Schools,CHITRADURGA-2913,5,0,5,34,4,38,39,4,43,34,3,37,0,2,2
81,2-Tribal Welfare Department Schools,DAKSHINA KANNADA-2924,8,1,9,2,2,4,10,3,13,0,1,1,0,0,0
82,2-Tribal Welfare Department Schools,DHARWAD-2909,0,1,1,10,1,11,10,2,12,10,1,11,1,0,1
83,2-Tribal Welfare Department Schools,GADAG-2908,0,0,0,3,8,11,3,8,11,3,7,10,1,1,2
84,2-Tribal Welfare Department Schools,HASSAN-2923,2,0,2,27,8,35,29,8,37,26,6,32,1,0,1
85,2-Tribal Welfare Department Schools,HAVERI-2911,3,6,9,19,6,25,22,12,34,19,6,25,1,1,2
86,2-Tribal Welfare Department Schools,KALBURGI-2904,2,1,3,38,25,63,40,26,66,33,18,51,2,0,2
87,2-Tribal Welfare Department Schools,KODAGU-2925,1,0,1,20,0,20,21,0,21,10,0,10,3,0,3
88,2-Tribal Welfare Department Schools,KOLAR-2919,0,0,0,21,5,26,21,5,26,20,5,25,1,1,2
89,2-Tribal Welfare Department Schools,KOPPAL-2907,3,1,4,27,9,36,30,10,40,27,9,36,3,4,7
90,2-Tribal Welfare Department Schools,MYSURU-2926,0,0,0,50,1,51,50,1,51,29,1,30,3,0,3
91,2-Tribal Welfare Department Schools,RAICHUR-2906,8,2,10,33,17,50,41,19,60,29,14,43,1,2,3
92,2-Tribal Welfare Department Schools,RAMANAGARA-2932,2,0,2,15,2,17,17,2,19,13,2,15,1,1,2
93,2-Tribal Welfare Department Schools,SHIVAMOGGA-2915,3,0,3,30,9,39,33,9,42,17,3,20,1,0,1
94,2-Tribal Welfare Department Schools,TUMAKURU MADHUGIRI-2931,1,1,2,16,2,18,17,3,20,16,2,18,3,0,3
